lat, long, title, address
43.496439, -112.053008, "15 and 20 Idaho Falls", "15 Idaho Falls"
43.715775, -112.132319, "Roberts Exit I 15 ", "Roberts, Idaho"
43.716975, -112.126486, "Roberts Idaho and Hwy 48", "Hwy 48 in Roberts"
43.764253, -112.137972, "Sandy Marsh Parking Area ", "N 2850 E, Roberts, Idaho"
